title,price,location,description,bedrooms,bathrooms,floor_area,land_size,property_type,subcategories,listing_url,listing_id,geo_location,car_spaces,classification,subdivision_name
4 Bedroom Single Attached Unit for Sale at Brizlane Residences in Quezon City,19195000,"Culiat, Quezon City","Quezon City, the largest city within the National Capital Region (NCR), spans approximately 64.17 square miles and boasts a population of 2,960,048 as of 2020. Positioned in the northern sector of Metro Manila, it serves as a hub for both commercial and residential ventures. Named in honor of the second president, Manuel L. Quezon, it comprises 12 barangays. Continuously recognized among the top 10 Asian cities by the London Financial Times, it secured 5th place for Best Economic Potential, 3rd for Cost Effectiveness, 6th for Best Human Resources, and 10th for Quality of Life.  The city is rich in significant historical occurrences, particularly dating back to the Spanish colonial era. Here lies the residence of Filipino patriot and revolutionary, Melchora Aquino, affectionately known as Tandang Sora. It was within her abode in Pugad Lawin where Filipino hero Andres Bonifacio and his fellow Katipuneros proclaimed a revolution for Philippine independence against Spanish rule, marking the genesis of the Filipino nation. Presently, this historic house stands in Project 8, recognized as Bahay Toro.  INVESTING IN PROPERTY IN QUEZON CITY In contemporary times, Quezon City emerges as an urban, contemporary, and financially robust locale. It draws a diverse demographic, including students, families, expatriates, and others, enticed by its plethora of shopping centers and recreational establishments. Moreover, the city holds allure for both local and international investors. Vibrant commercial districts like Cubao and Eastwood City epitomize this appeal, featuring lifestyle complexes housing malls, condos, hotels, and hosting renowned multinational corporations such as Citibank, IBM, Canon, and Mercury Drug Store.  Despite its sought-after status, the cost of property for sale in Quezon City, Metro Manila, remains comparatively lower than in areas like Makati or Ortigas. Yet, it remains highly coveted due to its unparalleled convenience and promising growth prospects propelled by ongoing infrastructure projects and real estate developments such as the Metro Rail Transit Line 7 and Cloverleaf, Ayala Land’s newest mixed-use community.  Undoubtedly, Quezon City presents an idyllic residential setting. However, for those inclined towards commercial ventures, purchasing a commercial property for sale in Quezon City, Metro Manila, holds significant appeal, given the city's status as one of the country's largest consumer markets, ensuring lucrative investment opportunities.  For those seeking a residence in Metro Manila, Quezon City stands out as a prudent option. Not only is it conveniently reachable, but it also fosters a flourishing business milieu. Additionally, it hosts a multitude of paramount institutions encompassing education, healthcare, government, and commerce, rendering it an optimal choice for individuals seeking housing solutions tailored to their lifestyles and requirements.",4,4,228,77,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/new-developments/quezon-city-townhouses/4-bedroom-single-attached-unit-for-sale-at-brizlan-171833116327/,HO6629EE8D843ACPH,"[121.053576,14.669878]",N/A,N/A,Brizlane Residences
"5 Bedroom Townhouse Unit for Sale at Horseshoe Village in Horseshoe, Quezon City",57519457,"Horseshoe, Quezon City","Immerse yourself in a community where residences, workspaces, and hubs seamlessly blend to create a unique lifestyle. Rio Verde, nestled in Antipolo, Rizal, offers an exceptional experience that meets the discerning expectations of its residents, situated in the country’s prime investment hubs.  Designed for budding families and young professionaals, Rio Verde boasts amenities that provide comfort and leisure, enhancing residents' well-being while immersing them in the vibrant atmosphere of the location. The neighborhood, set against a captivating scenic backdrop, offers a lifestyle that epitomizes comfort and style.  Horseshoe Village Location: More than just a home, it is a way of living that transcends the ordinary, reflecting the ideal lifestyle of its residents. Conveniently located in Antipolo, residents can enjoy leisurely strolls around the neighborhood, with parks, shopping centers, and restaurants all within close proximity.  City of Quezon City: Located in the northern part of Metro Manila, Quezon City is widely regarded as the capital’s entertainment district, home to the country's two major television stations: ABS-CBN Corporation and GMA Network, Inc. The city's expansive size also makes it a thriving industrial and commercial hub.  Quezon City is the largest component city in the National Capital Region, spanning 166 square kilometers. It is also the most populous, with over 2.8 million residents as of 2010. This number is expected to grow in the coming years, as large areas of the city are being developed into new business districts and residential zones.",5,N/A,518,146,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/new-developments/horseshoe-village/5-bedroom-townhouse-unit-for-sale-at-horseshoe-vil-173148275744/,HO66754EE5DEF2BPH,"[121.043543,14.613141]",N/A,N/A,Horseshoe Village
4 Bedroom Single Attached Unit for Sale at Brizlane Residences in Quezon City,19195000,"Culiat, Quezon City","Brizlane Residences is situated in a village along Tandang Sora Avenue, providing convenient access to some of Quezon City's most popular destinations. Restaurants, banks, and malls such as Circle C, Wilcon City Center, and SM Cherry Foodarama are just a 10-minute drive away. Brizlane Residences promotes a calm, distraction-free environment with a modern minimalist architectural design. Experience a peaceful home that fosters focus and relaxation, while still being at the heart of the bustling metro. Each unit features a second-floor living area with full-height, floor-to-ceiling windows, allowing ample natural light to brighten your living space.  Key features of the property:  Smart door lock All toilet and bath w/ multi-point water heater and rainshower Fully functional kitchen w/ modular cabinets Synthetic granite countertop Gas burner hob by Hafele Brand Built-in cabinet mounted hood SLI 2 by Hafele Brand Accessories counter waste bin and cutleries Shower enclosure-static shower glass for master’s toilet and bath   Building features and amenities:  Gated Community 24/7 CCTV camera surveillance Guardhouse Underground facilities for electricity and telephone lines   Nearby Establishments:  New Era General Hospital General Malvar Hospital Diliman Hospital Metro North Medical Center San Juan Medical Hospital St. Anthony Mary Claret College Maria Montessori School of Quezon City School Inc. New Era University Colegio de San Lorenzo University of the Philippines Miriam College Ateneo de Manila University   HLURB/LTS #: 117 Reservation fee: PHP 100,000 Monthly Downpayment: PHP 623,166.67 Financing/Payment Terms: Cash and Bank Financing",4,4,228,77,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/new-developments/brizlane-residences/4-bedroom-single-attached-unit-for-sale-at-brizlan-171833115826/,HO603612D463A96PH,"[121.053576,14.669878]",N/A,N/A,Brizlane Residences
"House and Lot in Cubao, Perfect for Residential or Commercial Use",16000000,"Socorro, Quezon City","For Sale: House and Lot in Cubao - Perfect for Residential or Commercial Use!

Conveniently located just 250 meters from P. Tuazon
Accessible and strategic location ideal for business or residential purposes

Asking Price: PHP 16,000,000

Property Details:

Lot Area: 159 sqm
Dimensions: 7 meters (frontage) x 21 meters (depth)
Lot Shape: Regular cut
Inclined property – never flooded

Perfect for conversion into a commercial property or as a residence with potential income opportunities.

Don’t miss this investment opportunity in the heart of Cubao!",N/A,N/A,N/A,N/A,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/house-and-lot-in-cubao-perfect-for-residential-or-17318910410/,HO673A8F61E8D12PH,"[121.056446,14.617564]",N/A,N/A,N/A
"4-Storey Townhouse with 4Br and Parking FOR SALE in Scout Limbaga Extension, QC",29000000,"Sacred Heart, Quezon City","FOR SALE  4 Storey Townhouse, Scout Limbaga Extension in Brgy. Sacred Heart, Quezon City   Address: 170 -A Scout Limbaga Extension Lot Area: 125 sqm Floor Area: Approx. 320 sqm Semi furnished, storage area 4 BR with 3 T&B, 1 powder room Maid room, dirty kitchen, laundry area 4 Car Garage, 1 street parking Along the road Newly renovated and repainted   Selling price: 29M  Betty Ongsiaco Gorospe RE/MAX Capital PRC RES license No. 16330",4,N/A,320,125,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/4-storey-townhouse-with-4br-and-parking-for-sale-i-173095931717/,HO672C57D59D552PH,"[121.03781,14.632093]",N/A,N/A,N/A
House and Lot for Sale in Quezon City at Don Antonio Royale Estates,45000000,"Matandang Balara, Quezon City","Code : DS88-002584 Category : For Sale Project : Don Antonio Royale Estates City : Quezon City Unit : 4-Bedrooms 4BR + 5T&B Size : LA: 315 sqm. FA: 500 sqm. Parking : 2-Car Garages Selling Price : Php 45,000,000.00 Net take home of Seller  Details of the Property: • Clean Title • Semi-Furnished • Located in a Private subdivision with 24/7 security. • Pre-Owned House & Lot • No need for any major repairs • 4 bedrooms with air conditioner and T&B per room  • 1 of the 4 bedrooms located at the GF dedicated for the elderly.  • 1 Driver's quarter with own T&B • 1 Maid's Quarter with own T&B • Garden and Grotto • With Pantry, Dirty kitchen and Laundry area • With 110 V provision • near Commonwealth Ave Matandang Balara, QC • regular rectangular lot • not perimeter not tumbok • house built 2004 • 15m frontage  If you’re interested in BUYING this property or wish to SELL a property, don't hesitate to contact us: ** JACKSON LIM JR. ** Licensed Real Estate Broker - PRC#0005478 ** Top Realty Corporation",4,5,500,315,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/house-and-lot-for-sale-in-quezon-city-at-don-anton-173027106328/,HO6721D757EAD53PH,"[121.082236,14.665648]",N/A,N/A,Don Antonio Royale Estate
Tivoli Royale 8-Bedroom 8BR House and Lot for Sale in Quezon City,60000000,"Batasan Hills, Quezon City","Code : DS88-003120
Category : For Sale
Project : Tivoli Royale
City :  Quezon City
Unit : 8-Bedroom 8BR + 8T&B
Size : FA : 600 sqm. LA : 308 sqm.
Parking : 2-Car Garages
Selling Price : PHP 60,000,000.00 GROSS PRICE

Details of the Property :
• Clean Title
• 3-Storey House with full basement
• 11.8-meter restriction
• All bedrooms have a balcony 
• Frontage: 18 meters 
• Features: Flat lot 
• With lower ground level, 
• With views of Marikina, Antipolo, and Eastwood 
• Nearby: Don Antonio Heights, Ayala Heights, Loyola Grand Villas

If you’re interested in BUYING this property or wish to SELL a property, don't hesitate to contact us:
** JACKSON LIM JR.
** Licensed Real Estate Broker - PRC#0005478
** Top Realty Corporation",8,8,600,308,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/tivoli-royale-8-bedroom-8br-house-and-lot-for-sale-173027550382/,HO6721E8AF40664PH,"[121.096563,14.681641]",N/A,N/A,Tivoli Royale
TOWNHOUSE FOR SALE near COL. BONNY SERRANO AVE. QC,19500000,"Cubao, Quezon City","For Sale Brand New Townhouse near Col Bonny Serrano Ave Cubao Quezon City

MD-CUB498

Few Units Available

3 Storey
3 Bedrooms and Bathrooms
1 Powder Room
2 Parking Spaces

Floor Area: 198 SQM
Lot Area: 75 SQM

For more details, please contact:
JEFFREY LOCK
+63 927 964 8989
PRC REBL No. 26889
DHSUD B-NCR 5885
Grand Majesty Estate Corporation",N/A,N/A,N/A,N/A,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/townhouse-for-sale-near-col-bonny-serrano-ave-qc-173142652316/,HO673378DBA5EAEPH,"[121.0572,14.61777]",N/A,N/A,N/A
White Plains - Brand New House For Sale,185000000,"White Plains, Quezon City","White Plains - Brand New House For Sale   For Sale - ₱185M Gross (negotiable)  4 BR 4.5 TB Lot Area: 406 sqm Floor Area: 500+ sqm Inclusions: ACs only 5 car garage  Features: •⁠ ⁠Brand New House with garden by Ed Calma  •⁠ ⁠Living room with double height ceiling •⁠ ⁠200+ sqm roof deck  •⁠ ⁠Narra and Mahogany flooring •⁠ ⁠Walk-in closet in the Master bedroom •⁠ ⁠Entertainment room, storage room, separate maid’s and driver’s room, genset ready   DM for inquiries  Renz Ocampo",4,4.5,500,406,,"house, villas",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/white-plains-brand-new-house-for-sale-173172313850/,HO672DD76A5D236PH,"[121.0711795,14.6060344]",N/A,N/A,White Plains
BIG PRICE DROP!!!! House and Lot for Sale in Quezon City at Filinvest 2,39800000,"Bagong Silangan, Quezon City","Code : DS88-000832  Category : For Sale Project : Filinvest 2 City : Quezon City Unit : 4-Bedrooms 4BR + 5 T&B Size : FA : 443 sqm. LA : 267 sqm. Parking : 3-Car Garages Price per sqm: PHP 89,841.00 Selling Price : From ₱41,680,000.00 to PHP 39,800,000 GROSS PRICE  Details of the Property: • Clean Title • Semi-Furnished • With Maid's Room  Ground Floor: • 3 parking slots • Living room • Dining area • Clean and dirty kitchen • Guest room/den  Second Floor: • 4 bedrooms (2 master bedrooms with bathtubs) and en-suite toilet and baths  Third Floor: • Family/entertainment room • Viewing deck (overlooking Montalban mountains and facing the morning sun)  Other Details: • 11 ft. ceiling • Imported Denmark kitchen • House built in 2022, placed on the market in 2023 • Senorita step stairs • Diagonal lights in the second master bedroom • ₱600.00 monthly dues • Includes 5 air conditioning units  If you’re interested in BUYING this property or wish to SELL a property, don't hesitate to contact us: ** JACKSON LIM JR. ** Licensed Real Estate Broker - PRC#0005478 ** Top Realty Corporation",4,5,443,267,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/big-price-drop-house-and-lot-for-sale-in-quezon-ci-172958311988/,HO6717580FA2BD5PH,"[121.109668,14.703588]",N/A,N/A,Filinvest 2 Subdivision
"Quezon City, House and Lot for Sale in Quezon City at Don Antonio Royale Estates",45000000,"Matandang Balara, Quezon City","Code : DS88-002584 Category : For Sale Project : Don Antonio Royale Estates City : Quezon City Unit : 4-Bedrooms 4BR + 5T&B Size : LA: 315 sqm. FA: 500 sqm. Parking : 2-Car Garages Selling Price : Php 45,000,000.00 Net take home of Seller  Details of the Property: • Clean Title • Semi-Furnished • Located in a Private subdivision with 24/7 security. • Pre-Owned House & Lot • No need for any major repairs • 4 bedrooms with air conditioner and T&B per room  • 1 of the 4 bedrooms located at the GF dedicated for the elderly.  • 1 Driver's quarter with own T&B • 1 Maid's Quarter with own T&B • Garden and Grotto • With Pantry, Dirty kitchen and Laundry area • With 110 V provision • near Commonwealth Ave Matandang Balara, QC • regular rectangular lot • not perimeter not tumbok • house built 2004 • 15m frontage  If you’re interested in BUYING this property or wish to SELL a property, don't hesitate to contact us: ** JACKSON LIM JR. ** Licensed Real Estate Broker - PRC#0005478 ** Top Realty Corporation",4,5,500,315,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/quezon-city-house-and-lot-for-sale-in-quezon-city-17302710615/,HO6721D755D3C08PH,"[121.082236,14.665648]",N/A,N/A,Don Antonio Royale Estate
